percent_stride,hip_mean_deg,hip_sd_deg,knee_mean_deg,knee_sd_deg,ankle_mean_deg,ankle_sd_deg
0,18.06,5.65,5.91,4.09,1.56,2.71
2,17.58,5.75,9.63,3.83,-0.48,2.76
4,17.06,5.89,13.42,4.26,-2.24,2.86
6,16.62,6.03,17.30,4.60,-2.94,3.08
8,16.21,6.12,20.82,4.76,-2.32,3.45
10,15.62,6.18,23.51,4.83,-0.74,3.73
12,14.58,6.18,25.00,4.87,1.28,3.77
14,13.02,6.09,25.24,4.94,3.25,3.65
16,11.05,5.94,24.48,5.01,4.92,3.49
18,8.87,5.81,22.99,5.06,6.13,3.35
20,6.66,5.73,21.07,5.08,6.92,3.24
22,4.51,5.71,18.93,5.06,7.35,3.16
24,2.47,5.73,16.72,5.00,7.47,3.14
26,0.55,5.79,14.56,4.89,7.36,3.18
28,-1.25,5.91,12.56,4.73,7.16,3.26
30,-2.94,6.10,10.77,4.51,7.02,3.38
32,-4.56,6.30,9.23,4.26,7.04,3.53
34,-6.12,6.49,7.95,4.02,7.22,3.68
36,-7.61,6.67,6.98,3.85,7.49,3.80
38,-8.99,6.82,6.36,3.78,7.74,3.86
40,-10.20,6.94,6.18,3.82,7.91,3.91
42,-11.22,7.04,6.56,3.95,7.95,4.00
44,-12.04,7.14,7.58,4.15,7.74,4.19
46,-12.66,7.23,9.33,4.37,7.11,4.45
48,-13.05,7.32,11.88,4.58,5.80,4.76
50,-13.18,7.42,15.31,4.78,3.53,5.17
52,-12.94,7.56,19.73,5.01,0.07,5.69
54,-12.24,7.70,25.14,5.26,-4.43,6.15
56,-10.95,7.79,31.48,5.51,-9.48,6.25
58,-9.05,7.82,38.48,5.73,-14.28,5.83
60,-6.58,7.76,45.63,5.84,-17.99,5.21
62,-3.62,7.63,52.37,5.75,-19.94,5.11
64,-0.30,7.46,58.15,5.42,-19.95,5.73
66,3.20,7.23,62.58,4.90,-18.28,6.45
68,6.67,6.92,65.39,4.36,-15.49,6.74
70,9.89,6.58,66.52,4.08,-12.26,6.59
72,12.65,6.27,66.05,4.25,-9.09,6.16
74,14.87,5.96,64.09,4.75,-6.25,5.58
76,16.60,5.66,60.84,5.40,-3.84,4.96
78,17.92,5.37,56.46,6.07,-1.92,4.36
80,18.95,5.13,51.08,6.71,-0.52,3.85
82,19.69,5.01,44.79,7.30,0.38,3.49
84,20.06,5.01,37.64,7.76,0.82,3.31
86,19.99,5.12,29.81,7.91,0.97,3.28
88,19.49,5.30,21.74,7.61,1.11,3.32
90,18.70,5.49,14.14,6.79,1.44,3.41
92,17.86,5.63,7.86,5.54,1.95,3.46
94,17.18,5.73,3.65,4.16,2.43,3.42
96,16.76,5.80,2.02,3.25,2.52,3.27
98,16.55,5.83,2.80,3.34,1.93,3.13
100,16.46,5.84,5.47,4.04,0.56,3.08
