percent_stride,hip_mean_deg,hip_sd_deg,knee_mean_deg,knee_sd_deg,ankle_mean_deg,ankle_sd_deg
0,19.33,5.64,3.97,4.19,0.02,3.93
2,18.92,5.79,7.00,4.58,-2.06,4.36
4,18.45,5.77,10.52,4.79,-3.88,4.32
6,17.94,5.64,14.12,4.98,-4.60,4.02
8,17.30,5.56,17.38,5.11,-3.98,3.95
10,16.40,5.63,19.84,5.12,-2.40,4.05
12,15.18,5.81,21.27,5.17,-0.45,4.01
14,13.67,5.94,21.67,5.34,1.45,3.81
16,11.97,5.90,21.22,5.61,3.04,3.56
18,10.21,5.73,20.20,5.85,4.27,3.36
20,8.48,5.57,18.86,5.95,5.13,3.24
22,6.74,5.47,17.35,5.85,5.71,3.19
24,4.94,5.38,15.73,5.57,6.10,3.18
26,3.13,5.36,14.08,5.18,6.43,3.18
28,1.42,5.51,12.50,4.84,6.76,3.21
30,-0.13,5.75,11.09,4.69,7.12,3.30
32,-1.54,5.96,9.91,4.64,7.54,3.44
34,-2.87,6.14,8.97,4.66,7.99,3.60
36,-4.12,6.34,8.28,4.74,8.44,3.79
38,-5.30,6.58,7.86,4.86,8.86,4.00
40,-6.40,6.86,7.72,4.95,9.23,4.25
42,-7.43,7.14,7.94,4.98,9.51,4.51
44,-8.39,7.40,8.60,4.97,9.62,4.75
46,-9.27,7.68,9.76,4.96,9.43,4.98
48,-10.02,7.97,11.50,4.97,8.70,5.26
50,-10.61,8.25,13.86,5.05,7.20,5.65
52,-10.95,8.51,16.97,5.22,4.69,6.12
54,-10.91,8.71,20.96,5.49,1.15,6.56
56,-10.31,8.81,26.00,5.86,-3.20,6.87
58,-9.00,8.72,32.03,6.20,-8.17,6.93
60,-6.95,8.39,38.74,6.30,-13.05,6.64
62,-4.25,7.84,45.60,6.05,-17.13,6.19
64,-1.05,7.17,52.05,5.53,-19.52,5.91
66,2.42,6.47,57.54,4.99,-19.77,5.81
68,5.93,5.80,61.66,4.75,-18.12,5.57
70,9.22,5.22,64.12,4.93,-15.29,5.06
72,12.11,4.75,64.86,5.41,-12.04,4.45
74,14.55,4.44,63.95,5.99,-8.85,3.99
76,16.53,4.35,61.59,6.51,-5.96,3.76
78,18.13,4.43,57.97,6.93,-3.51,3.63
80,19.45,4.59,53.27,7.22,-1.64,3.49
82,20.54,4.76,47.58,7.42,-0.50,3.27
84,21.38,4.84,40.94,7.55,-0.07,2.94
86,21.84,4.83,33.46,7.54,-0.16,2.86
88,21.87,4.75,25.38,7.29,-0.42,2.86
90,21.50,4.68,17.27,6.69,-0.52,3.09
92,20.84,4.72,9.94,5.73,-0.26,3.45
94,20.09,4.84,4.31,4.54,0.36,3.53
96,19.50,5.02,1.12,3.55,1.00,3.40
98,19.18,5.23,0.54,3.28,1.20,3.33
100,19.01,5.43,2.21,3.60,0.58,3.52
