percent_stride,hip_mean_deg,hip_sd_deg,knee_mean_deg,knee_sd_deg,ankle_mean_deg,ankle_sd_deg
0,15.73,7.01,3.74,5.06,-0.57,3.37
2,14.69,6.69,5.96,5.20,-2.83,3.67
4,13.52,6.43,8.33,5.44,-5.27,3.95
6,12.49,6.35,10.88,5.79,-6.46,3.96
8,11.60,6.45,13.39,6.16,-5.91,3.93
10,10.55,6.64,15.31,6.48,-4.18,3.77
12,9.14,6.84,16.20,6.73,-2.19,3.60
14,7.54,6.99,16.20,6.87,-0.46,3.46
16,6.06,7.01,15.75,6.81,0.96,3.33
18,4.77,6.91,15.07,6.54,2.13,3.21
20,3.50,6.76,14.16,6.14,3.07,3.01
22,2.19,6.64,13.10,5.73,3.79,2.80
24,0.94,6.55,12.04,5.34,4.35,2.66
26,-0.16,6.49,11.10,4.99,4.84,2.62
28,-1.20,6.49,10.28,4.73,5.34,2.66
30,-2.27,6.54,9.54,4.60,5.84,2.76
32,-3.34,6.64,8.93,4.61,6.29,2.89
34,-4.35,6.80,8.47,4.70,6.71,3.01
36,-5.24,7.00,8.23,4.84,7.16,3.11
38,-6.07,7.18,8.21,4.97,7.66,3.27
40,-6.89,7.26,8.36,5.02,8.11,3.47
42,-7.69,7.32,8.71,5.01,8.43,3.57
44,-8.43,7.43,9.33,5.04,8.56,3.60
46,-9.12,7.55,10.25,5.09,8.46,3.60
48,-9.77,7.63,11.53,5.08,8.03,3.63
50,-10.39,7.69,13.21,5.03,7.14,3.76
52,-10.93,7.75,15.47,5.02,5.55,4.01
54,-11.27,7.76,18.54,5.17,3.06,4.49
56,-11.05,7.66,22.74,5.51,-0.34,5.04
58,-9.95,7.41,28.32,5.95,-4.47,5.41
60,-7.96,7.11,35.05,6.36,-8.91,5.29
62,-5.27,6.84,42.28,6.49,-13.12,4.64
64,-2.23,6.66,49.12,6.33,-16.27,4.22
66,0.86,6.44,54.89,5.94,-17.55,4.74
68,3.80,6.10,59.14,5.55,-16.64,5.55
70,6.45,5.70,61.71,5.60,-14.00,5.78
72,8.84,5.44,62.55,6.14,-10.48,5.61
74,11.04,5.31,61.77,6.95,-6.91,5.47
76,13.06,5.25,59.52,7.81,-3.81,5.36
78,14.80,5.29,55.96,8.62,-1.34,5.08
80,16.20,5.33,51.26,9.21,0.51,4.64
82,17.27,5.24,45.57,9.54,1.59,4.28
84,18.07,5.15,39.10,9.63,1.72,4.03
86,18.53,5.21,31.99,9.46,1.11,3.91
88,18.55,5.38,24.44,8.94,0.25,3.93
90,18.17,5.54,16.91,8.02,-0.34,4.03
92,17.55,5.68,10.13,6.68,-0.45,4.09
94,16.88,5.90,4.98,5.11,-0.19,4.01
96,16.30,6.23,2.11,3.72,0.14,3.77
98,15.90,6.51,1.73,3.20,0.04,3.38
100,15.53,6.70,3.21,3.44,-0.89,3.13
